CELL_ID,X,Y
16,469,8
17,515,9
18,555,10
3,590,4
4,618,4
7,833,5
8,851,6
32,1201,13
5,1223,5
33,1242,12
27,1288,13
13,1317,9
9,1361,8
10,1381,8
36,1404,15
6,1507,5
19,1540,12
20,1601,11
1,1618,3
29,1639,13
14,2001,8
24,2034,14
15,2061,9
25,2124,9
11,2148,7
21,2162,11
2,2181,3
12,2236,8
28,1344,14
22,495,12
26,627,14
39,771,18
41,864,20
23,1073,12
34,1155,16
30,2179,13
37,2202,16
31,433,16
38,602,18
42,2079,20
43,2266,19
52,1654,25
44,2140,20
49,1265,24
46,1494,24
51,1777,26
40,1126,18
35,1221,18
48,634,26
63,1457,33
50,1521,26
56,2246,32
47,519,25
45,946,22
66,2008,34
54,538,29
55,584,27
62,1308,32
60,1585,31
65,1418,34
58,2176,31
53,419,26
64,1607,32
59,2232,30
75,2159,37
61,2127,32
69,2287,36
57,1219,31
67,1242,36
72,1392,37
74,875,37
73,1550,35
71,1204,39
78,1276,41
83,2191,43
84,2224,45
77,662,40
82,851,40
89,1564,47
80,1635,41
68,2062,35
76,604,39
70,1108,37
91,2208,48
79,1324,41
92,1358,49
81,481,42
87,1142,44
96,1659,49
86,954,46
109,1678,59
85,900,46
108,1433,54
90,2075,48
94,1533,51
100,1288,52
88,1191,47
104,1736,54
105,2260,53
97,806,51
95,1595,51
98,831,51
93,1505,50
102,506,54
103,619,54
99,1252,51
101,1387,53
111,1149,63
107,1305,58
106,854,58
115,2022,65
114,488,67
113,1402,63
110,583,60
116,644,66
122,1327,70
112,723,63
118,1635,66
132,1650,78
119,1954,67
117,1182,66
121,1254,69
124,1582,72
120,1037,69
138,1376,80
123,1467,70
129,2351,73
125,562,72
126,2170,72
134,1234,78
127,2206,72
130,1280,74
143,860,80
146,1418,84
135,2270,79
128,882,76
139,1620,81
131,1101,76
145,1339,84
148,2338,85
142,1311,82
140,540,83
133,610,77
137,778,81
144,918,83
136,845,79
154,1546,87
147,2176,87
160,2009,94
161,1296,95
141,1155,83
151,2369,86
153,986,88
149,1266,87
150,2151,87
162,497,97
171,1353,101
152,826,89
155,887,91
156,928,92
159,1204,93
166,1562,97
157,2225,92
172,1487,99
165,1181,98
170,359,100
158,1101,93
168,1246,99
169,2134,101
163,611,99
164,804,97
176,1273,106
167,674,99
186,1638,113
190,1583,113
179,2243,106
183,2377,108
173,2263,102
174,531,105
178,630,106
181,1570,110
177,2038,105
175,1192,106
188,2025,113
184,1207,112
182,2169,109
195,1395,117
198,2151,118
180,1101,108
185,1332,111
187,338,114
207,1372,122
191,1471,116
196,1537,117
197,1994,120
193,845,118
192,2275,116
202,1433,121
204,1977,121
189,1039,114
194,1245,119
206,1295,123
199,501,122
212,1499,126
209,1069,124
205,2122,125
208,957,124
201,1120,122
211,1347,125
200,1104,121
217,1255,131
224,1620,133
203,1725,122
210,1090,124
213,870,129
214,1016,128
216,1194,131
221,1217,133
218,2193,132
223,1600,133
219,2338,129
215,1161,131
220,817,134
222,1408,135
226,2175,136
229,1272,139
237,1333,146
232,1544,141
230,1568,138
225,2103,136
227,2422,136
231,458,140
228,743,138
234,1308,143
233,841,142
235,826,145
246,1456,149
240,2330,145
245,437,149
254,1981,155
236,2227,143
243,1285,146
239,2311,145
244,1638,147
252,418,154
242,704,146
238,2116,147
241,290,147
247,2368,149
249,2089,152
258,1370,155
248,2131,151
265,1401,161
251,1038,153
253,1257,155
263,1607,158
262,1425,158
266,1575,159
250,269,153
255,2412,154
261,652,158
264,846,159
257,874,157
260,2074,156
256,252,156
269,1295,162
259,1959,157
268,1170,161
267,2275,160
271,1126,162
281,1553,167
277,2295,166
275,934,166
276,1184,165
283,1627,171
272,828,164
280,1277,168
270,2215,161
274,598,166
278,1208,167
289,1648,173
273,2246,163
288,1075,173
285,1350,171
282,536,170
279,1150,168
294,799,176
292,1502,176
284,1824,171
286,2088,173
297,2330,176
295,1107,178
293,1580,177
305,1962,183
302,2005,182
287,610,175
296,2025,177
290,2187,175
306,1340,186
291,748,176
299,956,183
301,1906,182
312,339,194
298,1269,181
304,1437,185
303,1016,183
300,1385,182
309,1660,189
317,1614,193
308,1471,188
307,2233,187
311,2494,186
314,829,191
315,1000,191
319,1029,195
316,1585,194
310,2110,187
326,1918,196
313,811,190
330,1293,199
331,1322,200
318,317,195
336,1270,200
332,1519,200
320,1558,193
334,1076,201
341,1944,204
325,224,196
329,1122,200
324,1184,195
333,2195,198
322,2485,195
327,2016,197
321,2408,194
323,594,196
337,2052,201
328,783,200
335,1098,201
338,2115,203
340,845,201
342,2317,202
345,460,205
339,798,204
343,763,205
344,1004,206
349,1372,212
347,640,207
351,1200,213
346,2469,206
348,735,211
357,1821,216
352,1597,214
353,1671,212
359,1626,217
354,310,213
360,1418,218
356,1479,216
350,2303,212
375,1654,225
364,1908,220
361,2059,218
355,610,216
363,844,220
368,2246,221
365,282,220
358,475,217
370,1050,223
374,1561,224
382,865,227
362,2384,218
372,362,225
367,929,221
366,512,221
384,775,227
378,1270,226
379,2003,227
371,2403,222
377,326,227
381,756,227
373,1292,225
369,987,222
376,1989,227
383,1443,229
386,1175,230
392,1537,236
380,493,227
390,1099,233
389,409,233
388,1868,231
393,1606,237
395,996,237
387,1382,232
385,2124,231
394,305,238
396,1338,237
405,732,240
400,1158,239
399,2467,237
408,1684,243
398,2014,237
412,1508,246
406,1934,241
391,1188,234
397,1358,237
402,1241,240
404,2280,239
407,464,243
409,1308,243
413,778,246
401,968,241
403,1912,239
414,825,247
410,1406,245
419,1077,248
423,164,249
422,2084,248
421,1847,251
411,2425,245
437,758,254
420,1881,250
418,389,249
424,427,251
433,1644,255
416,2315,248
417,2350,247
426,1263,252
415,2101,247
425,1285,251
427,2002,254
449,285,263
430,2207,255
436,681,257
428,2475,253
429,791,254
431,1050,256
432,1361,256
442,1568,259
435,949,257
439,1904,257
440,587,259
434,741,257
438,1148,259
443,2020,260
445,1026,262
441,1109,259
446,1928,262
447,2109,263
450,1167,267
448,134,264
444,499,262
453,1299,268
458,840,279
452,177,267
455,1623,270
451,1694,267
456,157,271
454,2490,269
459,2355,274
463,1137,276
477,1320,282
462,730,275
472,1447,279
461,2575,274
467,100,277
465,430,277
473,1600,278
470,1840,276
460,2404,274
475,473,281
457,585,274
474,1901,280
476,1076,280
478,1660,280
468,1036,279
483,1864,281
464,1882,275
466,2497,278
471,138,279
469,1195,277
489,1266,288
482,756,282
486,1577,285
490,1716,287
485,2150,283
480,2465,280
484,273,283
488,925,285
479,2188,280
481,2592,281
487,630,286
494,1182,288
493,672,288
498,2028,291
491,179,287
506,442,297
497,736,293
501,779,295
504,1163,295
499,142,292
492,457,290
496,942,290
495,765,290
502,82,295
503,387,295
509,2417,296
500,1015,293
514,1135,302
515,1605,301
511,1217,300
505,1870,296
513,972,302
517,1767,300
519,2564,301
507,708,297
510,1107,298
516,1651,301
530,1693,304
518,1820,299
508,1842,297
512,107,303
521,2359,304
525,2432,304
532,2542,304
528,612,306
522,1053,304
523,1194,303
524,1801,304
529,1367,307
520,1076,303
536,1517,310
527,2491,304
531,1784,305
534,2374,307
526,2473,304
540,1905,311
548,2598,317
533,2613,304
539,475,311
542,2403,311
547,2529,315
537,92,312
538,144,312
549,696,318
544,1180,313
558,1618,317
541,2143,311
546,1832,315
535,830,310
553,1755,316
543,2581,311
555,544,319
557,1097,318
562,1879,320
550,890,316
545,1259,315
551,1946,316
566,1666,321
554,2623,318
552,2294,316
560,508,320
571,1637,324
563,1991,320
577,1683,332
564,453,323
559,2459,319
556,1075,320
561,1194,321
567,1736,321
576,1567,329
568,1784,324
574,2391,327
565,523,322
570,581,326
569,116,326
572,604,327
582,1324,331
578,2369,329
573,2066,327
583,1600,332
587,2514,334
575,2581,328
588,675,334
580,938,329
586,1545,334
581,2555,329
592,1939,335
579,91,330
594,1153,336
585,1259,333
590,1760,336
593,145,335
596,163,336
598,875,339
591,1826,334
600,184,339
584,796,334
589,1180,335
624,1076,346
615,1715,346
603,1739,341
595,77,338
601,482,339
626,644,351
597,660,339
606,922,341
609,1056,342
613,1092,346
614,1275,345
612,1869,344
607,99,344
621,135,349
611,1199,345
599,1623,341
627,1656,350
605,355,343
608,519,343
602,610,342
616,1953,346
604,2418,340
617,2315,346
620,2379,348
610,937,345
618,2639,346
619,463,348
622,491,351
635,1592,355
628,1774,352
629,1897,354
623,504,350
625,1821,350
636,1003,354
642,1633,360
632,567,355
630,155,355
633,694,355
644,2501,359
645,2561,359
631,175,356
634,753,355
641,985,359
637,1108,356
638,1254,357
640,1674,358
654,1315,363
643,1802,360
639,258,358
649,81,363
646,448,360
660,770,367
648,856,361
653,1190,364
663,1614,370
647,47,362
650,97,363
652,2293,363
657,822,367
678,964,369
669,1012,370
651,194,363
685,596,375
658,882,367
659,1047,366
664,1874,371
656,2089,367
655,119,366
665,2433,370
661,496,369
676,712,375
668,867,372
667,252,370
675,948,375
662,1150,370
670,2219,370
674,2534,372
672,898,372
679,1935,376
688,471,380
673,2005,372
671,662,372
689,1282,382
666,168,371
682,2173,378
681,1106,378
677,426,377
691,838,383
686,1130,380
680,440,377
694,1248,384
701,2492,386
692,132,385
683,183,379
687,71,381
695,85,385
704,977,389
696,2554,386
684,2651,378
690,516,383
693,571,384
709,926,391
