region_id,cell_id,cluster
UPMC_c001_v001_r001_reg001,770,1
UPMC_c001_v001_r001_reg001,1947,1
UPMC_c001_v001_r001_reg001,1465,1
UPMC_c001_v001_r001_reg001,2878,0
UPMC_c001_v001_r001_reg001,1649,1
UPMC_c001_v001_r001_reg001,2244,1
UPMC_c001_v001_r001_reg001,4044,1
UPMC_c001_v001_r001_reg001,807,1
UPMC_c001_v001_r001_reg001,3493,1
UPMC_c001_v001_r001_reg001,1357,1
UPMC_c001_v001_r001_reg001,69,1
UPMC_c001_v001_r001_reg001,2085,1
UPMC_c001_v001_r001_reg001,3227,1
UPMC_c001_v001_r001_reg001,2166,1
UPMC_c001_v001_r001_reg001,558,1
UPMC_c001_v001_r001_reg001,3624,1
UPMC_c001_v001_r001_reg001,2067,1
UPMC_c001_v001_r001_reg001,1612,1
UPMC_c001_v001_r001_reg001,3899,1
UPMC_c001_v001_r001_reg001,2102,1
UPMC_c001_v001_r001_reg001,2946,0
UPMC_c001_v001_r001_reg001,401,1
UPMC_c001_v001_r001_reg001,4089,1
UPMC_c001_v001_r001_reg001,3479,1
UPMC_c001_v001_r001_reg001,1691,1
UPMC_c001_v001_r001_reg001,3764,1
UPMC_c001_v001_r001_reg001,2127,1
UPMC_c001_v001_r001_reg001,1722,1
UPMC_c001_v001_r001_reg001,1403,1
UPMC_c001_v001_r001_reg001,1138,1
UPMC_c001_v001_r001_reg001,237,1
UPMC_c001_v001_r001_reg001,2491,0
UPMC_c001_v001_r001_reg001,443,1
UPMC_c001_v001_r001_reg001,800,1
UPMC_c001_v001_r001_reg001,2502,1
UPMC_c001_v001_r001_reg001,2854,1
UPMC_c001_v001_r001_reg001,405,1
UPMC_c001_v001_r001_reg001,762,0
UPMC_c001_v001_r001_reg001,1050,1
UPMC_c001_v001_r001_reg001,2974,1
UPMC_c001_v001_r001_reg001,2347,0
UPMC_c001_v001_r001_reg001,1417,1
UPMC_c001_v001_r001_reg001,3290,1
UPMC_c001_v001_r001_reg001,2109,1
UPMC_c001_v001_r001_reg001,3644,1
UPMC_c001_v001_r001_reg001,730,1
UPMC_c001_v001_r001_reg001,1771,1
UPMC_c001_v001_r001_reg001,3488,1
UPMC_c001_v001_r001_reg001,3633,1
UPMC_c001_v001_r001_reg001,696,0
UPMC_c001_v001_r001_reg001,728,0
UPMC_c001_v001_r001_reg001,384,1
UPMC_c001_v001_r001_reg001,2970,0
UPMC_c001_v001_r001_reg001,2981,0
UPMC_c001_v001_r001_reg001,4106,1
UPMC_c001_v001_r001_reg001,385,1
UPMC_c001_v001_r001_reg001,1315,1
UPMC_c001_v001_r001_reg001,2869,1
UPMC_c001_v001_r001_reg001,747,0
UPMC_c001_v001_r001_reg001,3654,1
UPMC_c001_v001_r001_reg001,597,1
UPMC_c001_v001_r001_reg001,336,1
UPMC_c001_v001_r001_reg001,2061,1
UPMC_c001_v001_r001_reg001,1420,1
UPMC_c001_v001_r001_reg001,2442,0
UPMC_c001_v001_r001_reg001,2760,1
UPMC_c001_v001_r001_reg001,768,1
UPMC_c001_v001_r001_reg001,1198,1
UPMC_c001_v001_r001_reg001,3608,1
UPMC_c001_v001_r001_reg001,1210,1
UPMC_c001_v001_r001_reg001,1308,1
UPMC_c001_v001_r001_reg001,1059,1
UPMC_c001_v001_r001_reg001,1804,1
UPMC_c001_v001_r001_reg001,344,1
UPMC_c001_v001_r001_reg001,3969,1
UPMC_c001_v001_r001_reg001,490,1
UPMC_c001_v001_r001_reg001,1213,1
UPMC_c001_v001_r001_reg001,107,1
UPMC_c001_v001_r001_reg001,1523,0
UPMC_c001_v001_r001_reg001,4342,1
UPMC_c001_v001_r001_reg001,585,1
UPMC_c001_v001_r001_reg001,1240,0
UPMC_c001_v001_r001_reg001,3589,1
