region_id,center_node_idx,cell_id,cell_type
UPMC_c001_v001_r001_reg001,742,770,9
UPMC_c001_v001_r001_reg001,1891,1947,9
UPMC_c001_v001_r001_reg001,1414,1465,11
UPMC_c001_v001_r001_reg001,2820,2878,11
UPMC_c001_v001_r001_reg001,1594,1649,11
UPMC_c001_v001_r001_reg001,2187,2244,9
UPMC_c001_v001_r001_reg001,3984,4044,9
UPMC_c001_v001_r001_reg001,777,807,11
UPMC_c001_v001_r001_reg001,3434,3493,9
UPMC_c001_v001_r001_reg001,1307,1357,9
UPMC_c001_v001_r001_reg001,68,69,11
UPMC_c001_v001_r001_reg001,2029,2085,9
UPMC_c001_v001_r001_reg001,3169,3227,9
UPMC_c001_v001_r001_reg001,2110,2166,9
UPMC_c001_v001_r001_reg001,538,558,9
UPMC_c001_v001_r001_reg001,3565,3624,11
UPMC_c001_v001_r001_reg001,2011,2067,11
UPMC_c001_v001_r001_reg001,1559,1612,11
UPMC_c001_v001_r001_reg001,3839,3899,11
UPMC_c001_v001_r001_reg001,2046,2102,11
UPMC_c001_v001_r001_reg001,2888,2946,9
UPMC_c001_v001_r001_reg001,390,401,9
UPMC_c001_v001_r001_reg001,4029,4089,9
UPMC_c001_v001_r001_reg001,3420,3479,11
UPMC_c001_v001_r001_reg001,1636,1691,9
UPMC_c001_v001_r001_reg001,3705,3764,11
UPMC_c001_v001_r001_reg001,2071,2127,9
UPMC_c001_v001_r001_reg001,1667,1722,11
UPMC_c001_v001_r001_reg001,1352,1403,9
UPMC_c001_v001_r001_reg001,1096,1138,9
UPMC_c001_v001_r001_reg001,232,237,11
UPMC_c001_v001_r001_reg001,2433,2491,9
UPMC_c001_v001_r001_reg001,428,443,9
UPMC_c001_v001_r001_reg001,770,800,11
UPMC_c001_v001_r001_reg001,2444,2502,10
UPMC_c001_v001_r001_reg001,2796,2854,11
UPMC_c001_v001_r001_reg001,394,405,9
UPMC_c001_v001_r001_reg001,735,762,9
UPMC_c001_v001_r001_reg001,1011,1050,9
UPMC_c001_v001_r001_reg001,2916,2974,11
UPMC_c001_v001_r001_reg001,2289,2347,9
UPMC_c001_v001_r001_reg001,1366,1417,9
UPMC_c001_v001_r001_reg001,3232,3290,11
UPMC_c001_v001_r001_reg001,2053,2109,9
UPMC_c001_v001_r001_reg001,3585,3644,11
UPMC_c001_v001_r001_reg001,705,730,10
UPMC_c001_v001_r001_reg001,1716,1771,10
UPMC_c001_v001_r001_reg001,3429,3488,9
UPMC_c001_v001_r001_reg001,3574,3633,11
UPMC_c001_v001_r001_reg001,673,696,9
UPMC_c001_v001_r001_reg001,703,728,9
UPMC_c001_v001_r001_reg001,374,384,11
UPMC_c001_v001_r001_reg001,2912,2970,11
UPMC_c001_v001_r001_reg001,2923,2981,9
UPMC_c001_v001_r001_reg001,4046,4106,9
UPMC_c001_v001_r001_reg001,375,385,9
UPMC_c001_v001_r001_reg001,1266,1315,9
UPMC_c001_v001_r001_reg001,2811,2869,10
UPMC_c001_v001_r001_reg001,721,747,9
UPMC_c001_v001_r001_reg001,3595,3654,11
UPMC_c001_v001_r001_reg001,576,597,11
UPMC_c001_v001_r001_reg001,328,336,11
UPMC_c001_v001_r001_reg001,2005,2061,11
UPMC_c001_v001_r001_reg001,1369,1420,11
UPMC_c001_v001_r001_reg001,2384,2442,9
UPMC_c001_v001_r001_reg001,2702,2760,9
UPMC_c001_v001_r001_reg001,740,768,9
UPMC_c001_v001_r001_reg001,1153,1198,11
UPMC_c001_v001_r001_reg001,3549,3608,9
UPMC_c001_v001_r001_reg001,1165,1210,9
UPMC_c001_v001_r001_reg001,1259,1308,9
UPMC_c001_v001_r001_reg001,1020,1059,9
UPMC_c001_v001_r001_reg001,1749,1804,10
UPMC_c001_v001_r001_reg001,336,344,9
UPMC_c001_v001_r001_reg001,3909,3969,11
UPMC_c001_v001_r001_reg001,472,490,11
UPMC_c001_v001_r001_reg001,1168,1213,11
UPMC_c001_v001_r001_reg001,105,107,11
UPMC_c001_v001_r001_reg001,1471,1523,9
UPMC_c001_v001_r001_reg001,4282,4342,11
UPMC_c001_v001_r001_reg001,564,585,11
UPMC_c001_v001_r001_reg001,1193,1240,11
UPMC_c001_v001_r001_reg001,3530,3589,9
UPMC_c001_v001_r001_reg001,1241,1290,10
UPMC_c001_v001_r001_reg001,567,588,11
UPMC_c001_v001_r001_reg001,4234,4294,9
UPMC_c001_v001_r001_reg001,4137,4197,11
UPMC_c001_v001_r001_reg001,233,238,10
UPMC_c001_v001_r001_reg001,132,134,11
UPMC_c001_v001_r001_reg001,24,25,11
UPMC_c001_v001_r001_reg001,3562,3621,9
UPMC_c001_v001_r001_reg001,2630,2688,10
UPMC_c001_v001_r001_reg001,3035,3093,9
UPMC_c001_v001_r001_reg001,2687,2745,9
UPMC_c001_v001_r001_reg001,3761,3820,11
UPMC_c001_v001_r001_reg001,583,604,11
UPMC_c001_v001_r001_reg001,4040,4100,9
UPMC_c001_v001_r001_reg001,2779,2837,9
UPMC_c001_v001_r001_reg001,3070,3128,10
UPMC_c001_v001_r001_reg001,2981,3039,9
UPMC_c001_v001_r001_reg001,3310,3368,11
UPMC_c001_v001_r001_reg001,3773,3832,11
UPMC_c001_v001_r001_reg001,952,989,9
UPMC_c001_v001_r001_reg001,158,160,11
UPMC_c001_v001_r001_reg001,461,478,9
UPMC_c001_v001_r001_reg001,3884,3944,11
UPMC_c001_v001_r001_reg001,816,848,11
UPMC_c001_v001_r001_reg001,2341,2399,9
UPMC_c001_v001_r001_reg001,3640,3699,11
UPMC_c001_v001_r001_reg001,3871,3931,9
UPMC_c001_v001_r001_reg001,932,969,9
UPMC_c001_v001_r001_reg001,2894,2952,9
UPMC_c001_v001_r001_reg001,2705,2763,9
UPMC_c001_v001_r001_reg001,302,309,11
UPMC_c001_v001_r001_reg001,1240,1289,9
UPMC_c001_v001_r001_reg001,3071,3129,9
UPMC_c001_v001_r001_reg001,4092,4152,11
UPMC_c001_v001_r001_reg001,2671,2729,10
UPMC_c001_v001_r001_reg001,1219,1268,9
UPMC_c001_v001_r001_reg001,2456,2514,9
UPMC_c001_v001_r001_reg001,2776,2834,9
UPMC_c001_v001_r001_reg001,808,839,9
UPMC_c001_v001_r001_reg001,813,844,11
UPMC_c001_v001_r001_reg001,2977,3035,11
UPMC_c001_v001_r001_reg001,974,1012,11
UPMC_c001_v001_r001_reg001,3811,3870,9
UPMC_c001_v001_r001_reg001,3430,3489,11
UPMC_c001_v001_r001_reg001,2128,2185,9
UPMC_c001_v001_r001_reg001,3721,3780,9
UPMC_c001_v001_r001_reg001,984,1022,9
UPMC_c001_v001_r001_reg001,4178,4238,9
UPMC_c001_v001_r001_reg001,11,12,11
UPMC_c001_v001_r001_reg001,1634,1689,11
UPMC_c001_v001_r001_reg001,2397,2455,9
UPMC_c001_v001_r001_reg001,3077,3135,11
UPMC_c001_v001_r001_reg001,2000,2056,10
UPMC_c001_v001_r001_reg001,4107,4167,11
UPMC_c001_v001_r001_reg001,1520,1573,9
UPMC_c001_v001_r001_reg001,2635,2693,9
UPMC_c001_v001_r001_reg001,701,726,11
UPMC_c001_v001_r001_reg001,1189,1236,11
UPMC_c001_v001_r001_reg001,120,122,11
UPMC_c001_v001_r001_reg001,1213,1262,9
UPMC_c001_v001_r001_reg001,2346,2404,9
UPMC_c001_v001_r001_reg001,2328,2386,11
UPMC_c001_v001_r001_reg001,1087,1129,9
