CELL_ID,CLUSTER_LABEL
1,Tumor (Podo+)
2,Tumor (CD20+)
3,CD4 T cell
4,CD4 T cell
5,Tumor (Ki67+)
6,CD4 T cell
7,Stromal / Fibroblast
8,Stromal / Fibroblast
9,Tumor (CD21+)
10,Tumor (CD21+)
11,Tumor (CD20+)
12,Tumor (CD20+)
13,Tumor (CD20+)
14,Tumor (Ki67+)
15,Tumor (CD21+)
16,Naive immune cell
17,Macrophage
18,Stromal / Fibroblast
19,Tumor (CD21+)
20,Tumor (Ki67+)
21,Tumor (CD20+)
22,Macrophage
23,Stromal / Fibroblast
24,Tumor (CD20+)
25,Tumor (CD20+)
26,CD4 T cell
27,Tumor (CD20+)
28,Tumor (CD21+)
29,Tumor (CD20+)
30,Tumor (Ki67+)
31,Stromal / Fibroblast
32,Stromal / Fibroblast
33,Tumor (CD20+)
34,Stromal / Fibroblast
35,Tumor (Podo+)
36,Macrophage
37,Tumor (Ki67+)
38,Naive immune cell
39,B cell
40,Naive immune cell
41,Stromal / Fibroblast
42,Tumor (CD20+)
43,Tumor
44,APC
45,Lymph vessel
46,Tumor (CD21+)
47,Macrophage
48,Naive immune cell
49,Tumor (CD20+)
50,Tumor (CD21+)
51,Tumor (CD21+)
52,Tumor (CD20+)
53,Stromal / Fibroblast
54,B cell
55,CD8 T cell
56,Tumor
57,Tumor (CD21+)
58,Tumor (CD20+)
59,Tumor (Podo+)
60,Tumor (CD21+)
61,APC
62,Tumor (Podo+)
63,Tumor (CD21+)
64,CD4 T cell
65,Tumor (CD21+)
66,Tumor (CD20+)
67,Tumor (Podo+)
68,Tumor (Podo+)
69,Tumor (CD20+)
70,Stromal / Fibroblast
71,Stromal / Fibroblast
72,CD4 T cell
73,Tumor (Podo+)
74,Macrophage
75,Tumor (CD20+)
76,Stromal / Fibroblast
77,APC
78,Tumor (Podo+)
79,Tumor (Podo+)
80,Tumor (CD20+)
81,Stromal / Fibroblast
82,Macrophage
83,Tumor (Ki67+)
84,Tumor (Ki67+)
85,CD8 T cell
87,Stromal / Fibroblast
88,Stromal / Fibroblast
89,Tumor (CD20+)
90,Tumor (Ki67+)
91,Tumor (Ki67+)
92,Tumor (CD21+)
93,Tumor (CD21+)
94,Macrophage
95,CD4 T cell
96,CD8 T cell
97,Vessel
98,Tumor
99,Tumor (Podo+)
100,Tumor (Ki67+)
101,CD4 T cell
102,Stromal / Fibroblast
103,Naive immune cell
104,Tumor (CD21+)
105,Tumor
106,Stromal / Fibroblast
107,Tumor (CD20+)
108,Tumor (CD21+)
109,Tumor (CD20+)
110,B cell
111,Stromal / Fibroblast
112,Macrophage
113,Tumor (CD21+)
114,Stromal / Fibroblast
115,Tumor (CD20+)
116,Macrophage
117,Macrophage
118,CD8 T cell
119,Macrophage
120,B cell
121,Tumor (CD20+)
122,Tumor (CD20+)
123,Tumor (CD21+)
124,Tumor (CD21+)
125,CD4 T cell
126,Macrophage
127,Tumor (Podo+)
128,CD8 T cell
129,Tumor (CD21+)
130,Macrophage
131,CD4 T cell
132,Tumor (CD20+)
133,Macrophage
134,Tumor (CD20+)
135,Tumor (Podo+)
136,Macrophage
137,Stromal / Fibroblast
138,Tumor (CD21+)
139,Tumor (CD20+)
140,Stromal / Fibroblast
141,Stromal / Fibroblast
142,Tumor (CD20+)
143,Granulocyte
144,CD8 T cell
145,Tumor (CD20+)
