CELL_ID,CELL_TYPE
66887,Tumor (CD21+)
66888,Tumor (CD20+)
66889,Tumor (CD15+)
66890,CD4 T cell
66891,B cell
66892,Granulocyte
66893,Granulocyte
66894,Granulocyte
66895,Tumor (CD21+)
66896,Tumor (Podo+)
66897,Tumor (CD21+)
66898,Tumor (CD21+)
66899,Tumor (CD20+)
66900,Tumor (Ki67+)
66901,Macrophage
66902,CD4 T cell
66903,Tumor (CD20+)
66904,Tumor (CD20+)
66905,Tumor (CD21+)
66906,Granulocyte
66907,Tumor (CD20+)
66908,Macrophage
66909,Macrophage
66910,Granulocyte
66911,Macrophage
66912,Tumor (Podo+)
66913,Granulocyte
66914,Tumor (CD15+)
66915,Tumor (Ki67+)
66916,Tumor (CD20+)
66917,Tumor (CD20+)
66918,CD4 T cell
66919,Tumor
66920,Tumor (Podo+)
66921,Tumor (Ki67+)
66922,Tumor (CD20+)
66923,Tumor (CD21+)
66924,Tumor (CD20+)
66925,CD4 T cell
66926,Stromal / Fibroblast
66927,Vessel
66928,Tumor (CD20+)
66929,Tumor (Podo+)
66930,Stromal / Fibroblast
66931,Tumor (Ki67+)
66932,Tumor (CD20+)
66933,Tumor (Podo+)
66934,Lymph vessel
66935,Stromal / Fibroblast
66936,Tumor (Podo+)
66937,Tumor (CD15+)
66938,Macrophage
66939,Stromal / Fibroblast
66940,Tumor (Ki67+)
66941,Tumor (Ki67+)
66942,Tumor (Podo+)
66943,Granulocyte
66944,Tumor (CD21+)
66945,Tumor (CD15+)
66946,Tumor (Ki67+)
66947,Tumor (CD21+)
66948,Tumor (CD21+)
66949,Tumor (Ki67+)
66950,Tumor (Podo+)
66951,Granulocyte
66952,Tumor (Ki67+)
66953,Macrophage
66954,Tumor (Podo+)
66955,Tumor (Podo+)
66956,Macrophage
66957,Tumor (Podo+)
66958,Macrophage
66959,Tumor (Podo+)
66960,Tumor (Podo+)
66961,Tumor (CD21+)
66962,Macrophage
66963,Granulocyte
66964,Tumor (Podo+)
66965,Macrophage
66966,Tumor (CD20+)
66967,Tumor (CD20+)
66968,CD4 T cell
66969,Tumor (Podo+)
66970,Naive immune cell
66971,Granulocyte
66972,Tumor (CD20+)
66974,Granulocyte
66975,Tumor (CD15+)
66977,Naive immune cell
66978,Tumor (Podo+)
66979,Macrophage
66980,Macrophage
66981,Granulocyte
66982,Tumor
66983,CD4 T cell
66984,Macrophage
66985,Tumor (CD15+)
66986,Tumor (CD20+)
66987,Tumor (CD15+)
66988,Macrophage
66989,Tumor (Podo+)
66990,Granulocyte
66991,APC
66992,APC
66993,Tumor (Podo+)
66994,Tumor (CD15+)
66995,Naive immune cell
66996,Tumor (Podo+)
66997,Tumor (CD21+)
66998,Tumor (Podo+)
66999,Stromal / Fibroblast
67000,Tumor (CD21+)
67002,CD4 T cell
67003,Tumor (CD20+)
67004,Granulocyte
67005,Macrophage
67006,Stromal / Fibroblast
67007,Tumor (CD20+)
67008,CD4 T cell
67009,Stromal / Fibroblast
67010,Tumor (CD20+)
67011,Tumor (Podo+)
67012,Tumor (CD15+)
67013,CD4 T cell
67014,Granulocyte
67015,CD4 T cell
67016,Tumor (Podo+)
67017,Macrophage
67018,Tumor (CD15+)
67019,Tumor (Ki67+)
67020,Stromal / Fibroblast
67021,Tumor
67022,Granulocyte
67023,Granulocyte
67024,CD4 T cell
67025,Tumor (Ki67+)
67026,Macrophage
67027,Macrophage
67028,Macrophage
67029,Macrophage
67030,Tumor (Podo+)
67031,Stromal / Fibroblast
67032,Tumor (Ki67+)
67033,CD4 T cell
67034,Tumor (Podo+)
67035,Stromal / Fibroblast
