cell_id,pred_cell_type
aaaanpll-1,B cells
aaabddcj-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaadbdpm-1,Anti-inflammatory Macrophages (M2-like)
aaaebncm-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaaegoge-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaaejjpe-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaafcjek-1,Endothelial Cells
aaafodjb-1,Endothelial Cells
aaagjjhh-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaahkfko-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaajgoif-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaalbfeo-1,Macrophages (possibly FCGR1A+ subset)
aaalbodi-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaalfmof-1,Naive/Central Memory T cells
aaampeda-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaaoafgh-1,Smooth Muscle Cells (and/or Myofibroblasts)
aaaobbdc-1,Anti-inflammatory Macrophages (M2-like)
aaaoccdc-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaaocgod-1,Endothelial Cells
aaapghob-1,CD4+ T cells (naive/central memory)
aaapgide-1,Endothelial Cells
aabbifdc-1,Endothelial Cells
aabbnhdi-1,Endothelial Cells
aabdneho-1,Endothelial Cells
aabdpghp-1,Endothelial Cells
aabelaib-1,Fibroblasts / Myofibroblasts (Stromal cells)
aabfldac-1,Fibroblasts / Myofibroblasts (Stromal cells)
aabhjclc-1,Plasma Cells (differentiated B cells)
aabicaln-1,Fibroblasts / Myofibroblasts (Stromal cells)
aabmdafp-1,Endothelial Cells
aabnbhgc-1,Smooth Muscle Cells (and/or Myofibroblasts)
aabpbbdc-1,Plasma Cells (differentiated B cells)
aacabnhb-1,Fibroblasts / Myofibroblasts (Stromal cells)
aacanjpe-1,Fibroblasts / Myofibroblasts (Stromal cells)
aacchpfa-1,Endothelial Cells
aacdkceb-1,Smooth Muscle Cells (and/or Myofibroblasts)
aaceimbn-1,Anti-inflammatory Macrophages (M2-like)
aachdbkp-1,Anti-inflammatory Macrophages (M2-like)
aaciceik-1,Fibroblasts / Myofibroblasts (Stromal cells)
aacieodk-1,Fibroblasts / Myofibroblasts (Stromal cells)
aacifppl-1,Smooth Muscle Cells (and/or Myofibroblasts)
aacjnpmm-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaclbonc-1,Plasma Cells (differentiated B cells)
aaclcnad-1,Macrophages (possibly FCGR1A+ subset)
aaclgefm-1,Fibroblasts / Myofibroblasts (Stromal cells)
aacmhhdi-1,B cells
aacmkame-1,Anti-inflammatory Macrophages (M2-like)
aacnicbf-1,CD4+ T cells (naive/central memory)
aacnmaaa-1,CD4+ T cells (naive/central memory)
aacpaafe-1,Cytotoxic/NK-like T cells
aadagjha-1,Possible Mast Cells / Neuroendocrine-like
aadegoon-1,CD4+ T cells (naive/central memory)
aadhgeeb-1,CD4+ T cells (naive/central memory)
aadhpaao-1,B cells
aadkdgmo-1,Cytotoxic/NK-like T cells
aadlgajn-1,Plasma Cells (differentiated B cells)
aadmmocj-1,CD4+ T cells (naive/central memory)
aadpkgjp-1,CD4+ T cells (naive/central memory)
aaeajpmm-1,Smooth Muscle Cells (and/or Myofibroblasts)
aaebohjo-1,Anti-inflammatory Macrophages (M2-like)
aaecnchb-1,Plasma Cells (differentiated B cells)
aaecoomc-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaedcdob-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaefjhnc-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaefpbpg-1,Anti-inflammatory Macrophages (M2-like)
aaegbcam-1,Anti-inflammatory Macrophages (M2-like)
aaegbjmo-1,Anti-inflammatory Macrophages (M2-like)
aaegmpla-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaegnhba-1,Fibroblasts / Myofibroblasts (Stromal cells)
aaegogai-1,Endothelial Cells
aaeihegg-1,Anti-inflammatory Macrophages (M2-like)
aaeimeaf-1,CD4+ T cells (naive/central memory)
aaejoeop-1,Endothelial Cells
aaeklkei-1,Endothelial Cells
aaeklmhl-1,CD4+ T cells (naive/central memory)
aaeldlof-1,Endothelial Cells
aaelkoia-1,CD4+ T cells (naive/central memory)
aaeopghc-1,Macrophages (possibly FCGR1A+ subset)
aaepjmbd-1,Endothelial Cells
aafcdjgb-1,Endothelial Cells
aafcdjjo-1,CD8+ Cytotoxic T cells
aafcebno-1,Fibroblasts (Stromal cells)
aafcombg-1,Endothelial Cells
aafcomkk-1,Naive/Central Memory T cells
aaffaefa-1,CD8+ Cytotoxic T cells
aaffbkle-1,Possible Mast Cells / Neuroendocrine-like
aaffdbbm-1,CD8+ Cytotoxic T cells
aaffgfpe-1,B cells
aaffhpfo-1,CD4+ T cells (naive/central memory)
aafglogn-1,Fibroblasts (Stromal cells)
aafjamjg-1,Natural Killer (NK) cells
aafjcnfc-1,CD8+ Cytotoxic T cells
aafjlepp-1,Endothelial Cells
aafjmanj-1,Cytotoxic/NK-like T cells
