biomarker,mono_method,mono_correlation,mono_p_value,trend_method,trend_trend,trend_statistic,trend_p_value
CD11b,spearman,0.19669742444749475,5.587953652765924e-39,mann_kendall,increasing,42.30747777112581,0.0
CD14,spearman,-0.007205136772751154,0.6357045309117784,mann_kendall,no_trend,0.5952086285205513,0.5517040233250781
CD15,spearman,-0.0035791079698483594,0.8139667425621232,mann_kendall,decreasing,-15.505763543119844,0.0
CD163,spearman,0.02775723265887676,0.0679601474239648,mann_kendall,decreasing,-6.632523486883097,3.299960305014338e-11
CD20,spearman,-0.13587944823024514,2.8297583133701414e-19,mann_kendall,decreasing,-15.038440098960047,0.0
CD21,spearman,0.017485566627271625,0.2502719457717423,mann_kendall,increasing,17.490635935088115,0.0
CD31,spearman,-0.07021478218481922,3.8000910576037336e-06,mann_kendall,no_trend,0.5506433760525375,0.5818781679461813
CD34,spearman,-0.1417561334754914,7.44841806363344e-21,mann_kendall,decreasing,-14.657136367826679,0.0
CD3e,spearman,0.16709358701081212,1.8848051947273304e-28,mann_kendall,increasing,28.114543695013648,0.0
CD4,spearman,-0.0576658895756132,0.00014797516982154537,mann_kendall,decreasing,-2.4339099468905196,0.014936710687228238
CD45,spearman,-0.10541590802559107,3.6524373831309906e-12,mann_kendall,decreasing,-19.9042141710854,0.0
CD45RA,spearman,-0.0594316601382127,9.19778002739762e-05,mann_kendall,no_trend,-1.3151598653080323,0.18845618047251333
CD45RO,spearman,0.12699602005939742,5.1416858298605807e-17,mann_kendall,increasing,29.152989706462208,0.0
CD68,spearman,0.05253291557242022,0.0005478466649896533,mann_kendall,increasing,19.89657922650638,0.0
CD8,spearman,0.18456459976054157,1.909177782143277e-34,mann_kendall,increasing,34.03033221261581,0.0
CollagenIV,spearman,0.18425432636437825,2.470427916151572e-34,mann_kendall,increasing,36.767562288022226,0.0
HLA-DR,spearman,-0.07251138305823722,1.809635927773744e-06,mann_kendall,decreasing,-3.203456644800821,0.0013578848363149376
Ki67,spearman,-0.12023490170680275,2.1266663011278646e-15,mann_kendall,no_trend,-1.9343067435477346,0.053075424606859656
PanCK,spearman,-0.004197185130764134,0.7825878644218927,mann_kendall,increasing,4.313749218385803,1.605090126144404e-05
Podoplanin,spearman,-0.21127562002051545,7.775055668214075e-45,mann_kendall,decreasing,-21.935339012235218,0.0
Vimentin,spearman,-0.09812068207212442,1.00216596527356e-10,mann_kendall,no_trend,-0.5212636373015865,0.6021831283500618
aSMA,spearman,-0.1988675249216949,8.015261307792589e-40,mann_kendall,decreasing,-22.61484843093786,0.0
