gene,mean,std,nonzero_cells,nonzero_fraction
CDH1,0.011979971564566977,0.1364239819247705,793,0.009804042776781851
EPCAM,0.037608950979786115,0.26800252179031375,2112,0.026111145453421525
DSP,0.06869011559621685,0.3220744276090061,4334,0.053582246399208756
ACTA2,0.03397416084564505,0.2219527325048186,2225,0.027508190641033565
CDH2,0.00021017493972924522,0.018933820195863926,14,0.00017308524448290784
VIM,0.11788341472460902,0.4519979841404923,6921,0.08556592693330037
FN1,0.21346355937442046,0.626172270805714,11733,0.14505779810842553
ZEB2,0.005860171848921308,0.1037840206117207,346,0.004277678185077579
ZEB1,0.004154045867589788,0.08428502470917797,246,0.003041355010199666
SNAI1,0.0008777894541633183,0.03802272478770186,55,0.0006799777461828522
TWIST1,0.012907213945725412,0.13638471183679643,864,0.01068183223094517
SNAI2,0.0008036100636706435,0.03532761833880483,51,0.0006305248191877357
