gene,mean,std,nonzero_cells,nonzero_fraction
CDH1,0.012073936246345104,0.15040585769335277,817,0.00835258756415237
EPCAM,0.00904778457071585,0.12936680819268787,622,0.006359007912977692
DSP,0.007861860265401682,0.12387487088534477,520,0.005316212403132476
ACTA2,0.021459095834952053,0.20864123475925744,1376,0.014067515897519782
CDH2,0.012043265790173186,0.14900838504273817,816,0.008342364078761731
VIM,0.32464677857975344,0.8130994608851718,18670,0.19087247224323717
FN1,0.02427055431737788,0.22551168191210083,1587,0.01622467131494469
ZEB2,0.013310977978612469,0.16890933912063083,824,0.008424151961886846
ZEB1,0.008148117856339582,0.13285672115996708,498,0.005091295724538409
SNAI1,0.0005213977549226082,0.02912520269121281,39,0.0003987159302349357
TWIST1,0.0001840227370315088,0.018643085552397014,12,0.0001226818246876725
SNAI2,0.0005827386672664444,0.03180857540536782,41,0.00041916290101621443
