,cv,nonzero_ratio
A1BG,3.2427749015533136,0.12832040917340373
A1BG-AS1,12.148549116406102,0.009156904801187922
A1CF,40.57627808750025,0.0006393334433261838
A2M,2.1101956043947525,0.5196337238079525
A2M-AS1,9.100052426224519,0.013982841115327504
A2ML1,4.097854667649094,0.09651872628279162
A2ML1-AS1,26.215156812792838,0.0017530110542814717
A2MP1,6.011037835631865,0.02909998350107243
A3GALT2,60.5189043008731,0.0003712258703184293
A4GALT,3.790948757385758,0.09092971456855305
A4GNT,220.19763849777158,2.062365946213496e-05
AAAS,4.447775997364564,0.06325276357036792
AACS,5.643825339009536,0.044877082989605674
AACSP1,27.938298025450962,0.001588021778584392
AADAC,8.567214796993214,0.01695264807787494
AADACL2,49.22804078979382,0.0004124731892426992
AADACL2-AS1,5.397385083653438,0.04755815871968322
AADACL3,164.12427540668168,4.124731892426992e-05
AADACL4,220.1976384977667,2.062365946213496e-05
AADACP1,9.744558781219451,0.01284853984491008
AADAT,7.941000120029208,0.02037617554858934
AAGAB,3.2402288554159373,0.12617554858934169
AAK1,2.5784540572911667,0.18880960237584557
AAMDC,4.753809763995692,0.05688005279656822
AAMP,3.5526374680633426,0.10557251278666886
AANAT,51.63177316345497,0.00039184952978056425
AAR2,4.4801556625737105,0.06228345157564758
AARD,29.417798922144264,0.0014849034812737172
AARS,2.197926175425404,0.26291041082329647
AARS2,5.396137527078407,0.04498020128691635
AARSD1,3.4835182227998587,0.11021283616564924
AASDH,5.896467279310579,0.03611202771819832
AASDHPPT,3.7326081057276803,0.0946213496122752
AASS,5.355944784330298,0.04555766375185613
AATBC,27.208962575688012,0.002124236924599901
AATF,77.84600182414678,0.00016498927569707968
AATK,14.855977644805856,0.0056715063520871144
ABALON,32.654399741605346,0.0011549249298795578
ABAT,10.482902904882975,0.011343012704174229
ABCA1,3.4818473673234394,0.10320079194852334
ABCA10,14.67406694751749,0.005795248308859924
ABCA11P,5.896324240225738,0.037638178518396306
ABCA12,18.753873981448404,0.003753506022108563
ABCA13,5.783896512877029,0.042670351427157235
ABCA17P,14.659902370366217,0.006125226860254083
ABCA2,6.903995412057026,0.025222735522191057
ABCA3,2.8340092999292588,0.24639085959412638
ABCA4,28.991848384116068,0.0016498927569707968
ABCA5,6.397716338558885,0.031327338722983
ABCA6,10.885990272771664,0.01101303415278007
ABCA7,4.829259247652689,0.056055106418082826
ABCA8,11.000279657695408,0.010621184622999505
ABCA9,13.144716443709221,0.007197657152285102
ABCA9-AS1,8.137069669237873,0.01920062695924765
ABCB1,12.36116834868807,0.008373205741626795
ABCB10,4.859627603020225,0.054962052466589674
ABCB11,43.789465450809,0.0006805807622504537
ABCB4,28.351981058326,0.001567398119122257
ABCB5,31.886895030196637,0.0012786668866523675
ABCB6,5.429523128821308,0.04522768520046197
ABCB7,5.2088319202618,0.04687757795743277
ABCB8,5.481817936982779,0.04209288896221745
ABCB9,6.82599257611377,0.026377660452070614
ABCC1,12.5849181677562,0.00794010889292196
