,cv,entropy,nonzero_ratio
GATA3,0.16267587,17.750086,0.980918517993075
KRT7,0.2014047,17.730122,0.9686290504923324
TPD52,0.21684605,17.722458,0.9627237219530145
TACSTD2,0.23313932,17.712297,0.9564415518777792
CCND1,0.33701053,17.637255,0.9082191355698509
FOXA1,0.34006262,17.63263,0.9055014430814111
KRT23,0.3456836,17.628849,0.9046546579830554
SERPINA3,0.37109283,17.608847,0.8930479386767985
FLNB,0.39416087,17.582012,0.8749817121019334
ENAH,0.4038924,17.572603,0.8697458314675983
TOMM7,0.4292279,17.547613,0.8543263625038239
KRT8,0.4581477,17.517685,0.8373995273963797
SCD,0.46666405,17.510107,0.8354044839709345
ESR1,0.46958354,17.505207,0.8296631923354865
ANKRD30A,0.48259285,17.493317,0.8238686995420267
ERBB2,0.50181264,17.467167,0.8079083521384649
MLPH,0.5421223,17.419296,0.7828860741535474
FASN,0.5645472,17.395159,0.7701576970992069
EPCAM,0.7185095,17.191095,0.6677100004876773
NARS,0.7868648,17.097425,0.625215575525694
CD9,0.8126268,17.060404,0.6100798460713162
MDM2,0.8424348,17.017914,0.5922973590058477
TFAP2A,0.86720127,16.982094,0.5780926498166776
SMS,0.8672978,16.983454,0.5778887120442988
CCDC6,0.8728655,16.974472,0.5748606794674564
AR,0.8732645,16.974691,0.5743419681768407
NOSTRIN,0.8957583,16.942945,0.5627175151512465
CTTN,0.91454726,16.914978,0.5510797618361493
TRAPPC3,0.9182273,16.909208,0.548987182954349
SDC4,0.99638414,16.797693,0.5083725322421184
JUP,1.0115045,16.775785,0.5003923585403376
HMGA1,1.0244792,16.757305,0.49400821957891283
LARS,1.0303425,16.748615,0.4912860936606387
QARS,1.0305357,16.74749,0.4908250169578691
USP53,1.086993,16.6663,0.4638608967055183
CCPG1,1.0902816,16.663982,0.46266830408008547
TRAF4,1.0992973,16.64951,0.4581816730877509
DSP,1.1163038,16.62796,0.45267535323352204
TMEM147,1.1725341,16.542412,0.42576886756901744
FAM107B,1.1926862,16.51794,0.41908325537885877
VOPP1,1.3168187,16.342684,0.37047069724551
SMAP2,1.3405731,16.307281,0.361705806463054
SH3YL1,1.349394,16.294533,0.35874870876356074
SERHL2,1.3641567,16.28036,0.35574284333588996
TUBA4A,1.361843,16.280746,0.354878324518197
SRPK1,1.3697013,16.268105,0.3518857593800292
SEC11C,1.4039536,16.220173,0.34045194383731087
S100A14,1.4112281,16.212011,0.33871403934225636
ZNF562,1.4162678,16.204718,0.33671899591681115
PDE4A,1.4575905,16.14759,0.32367141191439935
