,cv,entropy,nonzero_ratio
GATA3,0.16267587,17.750086,0.980918517993075
KRT7,0.2014047,17.730122,0.9686290504923324
TPD52,0.21684605,17.722458,0.9627237219530144
TACSTD2,0.23313932,17.712297,0.9564415518777792
CCND1,0.33701053,17.637255,0.9082191355698508
FOXA1,0.34006262,17.63263,0.9055014430814112
KRT23,0.3456836,17.628849,0.9046546579830554
SERPINA3,0.37109283,17.608847,0.8930479386767985
FLNB,0.39416087,17.582012,0.8749817121019334
ENAH,0.4038924,17.572603,0.8697458314675983
TOMM7,0.4292279,17.547613,0.8543263625038239
KRT8,0.4581477,17.517685,0.8373995273963797
SCD,0.46666405,17.510107,0.8354044839709345
ESR1,0.46958354,17.505207,0.8296631923354865
ANKRD30A,0.48259285,17.493317,0.8238686995420267
ERBB2,0.50181264,17.467167,0.8079083521384649
