,cv,entropy,nonzero_ratio
AIF1,0.71106434,11.407736,0.6776104665514687
CCL5,0.80401444,11.276925,0.6181189829671686
CD68,0.994109,11.004472,0.5114786472475932
FCGR3A,1.0065587,10.98923,0.5072821525549247
PTPRC,1.0096055,10.983199,0.5045667736361392
MS4A6A,1.0932281,10.865465,0.4658109108862009
CFB,1.1015611,10.848459,0.45865218464576646
FGL2,1.1133263,10.8350725,0.4556899530980005
MDM2,1.1163293,10.825789,0.450999753147371
SEMA3C,1.1223389,10.816745,0.448037521599605
MET,1.1418073,10.788675,0.4393976795852876
GZMK,1.1681876,10.756137,0.43125154282893113
GLIPR1,1.176015,10.740436,0.4250802271044187
CXCR4,1.1964928,10.716448,0.4196494692668477
ACTG2,1.2277025,10.66816,0.40459145889903725
TFPI,1.2308652,10.663697,0.40335719575413476
VCAN,1.2384932,10.657747,0.40311034312515426
TRAC,1.2486024,10.641204,0.3979264379165638
C15orf48,1.2976443,10.570347,0.3781782275981239
FHL2,1.3016123,10.563303,0.37595655393729943
CD14,1.310829,10.556112,0.37570970130831893
FCGR1A,1.3165221,10.547901,0.37348802764749445
BASP1,1.3680888,10.476757,0.35546778573191806
CD3E,1.3944347,10.440334,0.3465810910886201
CAV1,1.398256,10.430771,0.3431251542828931
CD8A,1.4283733,10.393733,0.33547272278449763
TNC,1.4265962,10.393642,0.33473216489755614
CAVIN1,1.4278365,10.39122,0.33399160701061464
DST,1.4265221,10.392101,0.33399160701061464
PCNA,1.42964,10.3898735,0.33399160701061464
HAVCR2,1.4336067,10.38546,0.33325104912367315
STC1,1.4312633,10.386253,0.33275734386571215
SERPINB9,1.4803451,10.323505,0.31942730190076524
FAS,1.479402,10.320347,0.31769933349790175
MALL,1.4802997,10.319758,0.31769933349790175
CXCL2,1.4909989,10.30749,0.31547765983707726
CD2,1.4991574,10.297944,0.3137496914342138
VSIG4,1.5148845,10.277635,0.3095531967415453
ANPEP,1.5149953,10.273843,0.3078252283386818
AQP9,1.5178511,10.270232,0.3070846704517403
MPEG1,1.5377624,10.250322,0.30436929153295483
CXCL9,1.5717099,10.20785,0.2959763021476179
PRDM1,1.5725917,10.20272,0.2940014811157739
C1orf162,1.574192,10.200853,0.2937546284867934
KCNMA1,1.5976224,10.170475,0.28758331276228094
PMP22,1.6155396,10.146383,0.28264626018267097
GZMA,1.6180357,10.141559,0.2814119970377685
NKG7,1.6327633,10.123149,0.27795606023204145
