,cv,entropy,nonzero_ratio
PABPC1,0.13865413,15.168949,0.9869120435909079
GNAS,0.18271375,15.149568,0.9741178984481423
CFB,0.34522054,15.041669,0.9087315366329229
TMBIM6,0.3447178,15.038188,0.9037901653356126
EEF1B2,0.36183053,15.023923,0.8957771307994338
BTF3,0.36062288,15.024306,0.8955901599935896
SERPING1,0.40884203,14.981761,0.8726194609898769
NOP53,0.4030547,14.985055,0.8725660407596356
CFTR,0.43965113,14.9521055,0.8562194503058308
SUMO2,0.45293137,14.932117,0.840594032960282
SLC25A3,0.45545882,14.9294615,0.8389380058228051
MYH9,0.46453443,14.922727,0.8368011966131574
DUSP1,0.4819157,14.905847,0.8291621036886669
FSTL3,0.49532998,14.889881,0.8196265925906141
PPA1,0.4998327,14.880008,0.8108923849461791
RHOA,0.508156,14.87069,0.8055236518069393
HINT1,0.5394806,14.833141,0.7849301530489596
HSP90B1,0.5605899,14.808053,0.7717887764096263
PFDN5,0.56391853,14.804005,0.769758807660461
RTN4,0.5653233,14.802161,0.7681829108683459
CXCL6,0.5778895,14.791498,0.7658858409679745
ATP5F1B,0.5865147,14.775609,0.7542669408905153
BIRC3,0.6023284,14.7582,0.7463874569299394
EIF4A1,0.6235798,14.727972,0.7299073159005315
SSR2,0.6274689,14.72303,0.7274499853094367
EEF1D,0.6375434,14.710613,0.721547049867785
TOMM7,0.6471804,14.698175,0.7151366222388419
C1R,0.65392345,14.689679,0.711290365661476
HSPA8,0.664288,14.675515,0.7041053446940356
SKP1,0.66759306,14.671068,0.7018884051390262
EPCAM,0.6681863,14.670259,0.7013274927214936
CXCL2,0.68338454,14.653335,0.6952642965891183
SERPINB1,0.6985122,14.629919,0.6825235716765939
CAST,0.7308644,14.584595,0.6609150885440316
RBM3,0.7318966,14.583171,0.6601939154357755
DSP,0.73407775,14.580522,0.6591522209460723
COMMD6,0.739798,14.572794,0.6555730655199123
NTN4,0.7510779,14.558207,0.6495365795026576
FLNA,0.7751951,14.527493,0.6370896658564599
ATP5MC2,0.8096944,14.475089,0.6127834610967173
OST4,0.8505728,14.417328,0.5885573866823366
OSTC,0.8542636,14.411806,0.5862603167819653
SEC62,0.8609846,14.402264,0.5824407703197201
NNMT,0.8709305,14.389758,0.5783274125911483
ASAH1,0.8794514,14.376331,0.5722375063436523
CNN3,0.8793371,14.376233,0.5721039557680494
TCIM,0.90968406,14.33575,0.5573599722214803
ANPEP,0.91015023,14.334525,0.5566120889981035
KLF6,0.91204846,14.331839,0.5557039450840033
FSTL1,0.91902524,14.320884,0.5514303266647079
DST,0.9256744,14.309499,0.5464355351371565
MORF4L1,0.9404508,14.288068,0.5380218488741686
GATM,0.9646483,14.255394,0.5268837308688801
CAP1,0.970175,14.246002,0.5227970832554288
UGP2,0.9943207,14.210755,0.5101097785731457
ACTN1,1.0216916,14.173009,0.49747589412110366
ANXA3,1.0952127,14.06544,0.4612035577873341
KRT7,1.0989709,14.060387,0.4598146318010631
LAPTM5,1.1088173,14.04872,0.4568230989075563
