,cv,entropy,nonzero_ratio
PABPC1,0.13865413,15.168949,0.986912043590908
GNAS,0.18271375,15.149568,0.9741178984481424
CFB,0.34522054,15.041669,0.9087315366329228
TMBIM6,0.3447178,15.038188,0.9037901653356126
EEF1B2,0.36183053,15.023923,0.8957771307994338
BTF3,0.36062288,15.024306,0.8955901599935896
SERPING1,0.40884203,14.981761,0.8726194609898769
NOP53,0.4030547,14.985055,0.8725660407596356
CFTR,0.43965113,14.9521055,0.8562194503058308
SUMO2,0.45293137,14.932117,0.840594032960282
SLC25A3,0.45545882,14.9294615,0.8389380058228051
MYH9,0.46453443,14.922727,0.8368011966131574
DUSP1,0.4819157,14.905847,0.8291621036886669
FSTL3,0.49532998,14.889881,0.8196265925906141
PPA1,0.4998327,14.880008,0.8108923849461791
RHOA,0.508156,14.87069,0.8055236518069393
